time,small_neg_ions,small_pos_ions,intermediate_neg_ions,intermediate_pos_ions,large_neg_ions,large_pos_ions,T_air[C],RH[%%],Rain_acc[mm],WD_ave[Deg],WS_ave[m/s]
2024-05-30 12:00:00,760.730064870716,678.039414582231,45.9302706613794,39.0855051621979,295.276414266475,310.805292150487,22.9,61.9,0.0,64.3,2.1
2024-05-30 13:00:00,687.596637133034,919.442093755592,64.5767488867196,40.3385124886974,332.725354737331,368.228866744288,21.0,72.3,0.0,56.0,2.4
2024-05-30 14:00:00,1193.5665384801,1452.57396328695,68.5093296592069,42.8160500989112,325.633989214285,355.990546300863,20.5,64.8,0.01,221.3,0.8
2024-05-30 15:00:00,1269.64698630233,694.739898307546,66.4829436356927,40.8771668081499,37540.5335165048,668.29488665807,19.9,72.6,0.0,90.0,0.6
2024-05-30 16:00:00,442.835727158448,696.954130270163,42.0724614289307,46.8392182169333,34296.4890524003,779.260723345677,19.1,77.9,0.0,358.9,1.0
2024-05-30 17:00:00,582.243913555732,684.181120519212,26.5783818408893,26.4860479615937,36472.1701944397,1288.9552335695,18.7,81.5,0.0,238.6,1.1
2024-05-30 18:00:00,599.093194004565,578.619882071631,15.6299490900164,18.0832861468008,38006.7482968156,2495.91321007614,17.7,84.5,0.0,244.1,1.6
2024-05-30 19:00:00,710.112292134155,675.435247021576,14.9209220802255,12.4102724726822,19934.203405252,469.476001101245,17.7,86.0,0.0,248.5,0.5
2024-05-30 20:00:00,517.664185012855,555.543907534117,9.0368847084289,8.5882973111861,24820.1088483354,294.978263295981,17.5,86.9,0.0,312.2,0.9
2024-05-30 21:00:00,449.518266205604,623.074279566897,22.4181468410283,18.6768320997135,28126.7883194055,437.83254268776,17.4,87.0,0.0,161.8,0.3
2024-05-30 22:00:00,550.391861817257,577.04644410472,30.2735355397229,31.84226957464,29127.547125607,394.843556795492,17.5,85.5,0.0,58.8,0.8
2024-05-30 23:00:00,815.682057802804,626.598558315916,38.1188084097847,27.2290548065445,15250.8437429662,392.977274630714,17.2,86.0,0.0,74.1,1.1
2024-05-31 00:00:00,1217.83820262405,703.279557200447,140.577677617291,129.837638575432,10787.2457707226,896.727886808715,18.2,79.0,0.0,247.6,0.5
2024-05-31 01:00:00,1341.75987702437,935.445735176812,500.628808679406,442.065933818125,1622.11513225347,924.466944942179,16.1,75.0,0.0,234.4,3.7
2024-05-31 02:00:00,991.067329139207,424.715599592595,424.791427100507,368.211647356511,5961.02830026663,2511.38592218905,16.1,77.4,0.01,227.1,3.6
2024-05-31 03:00:00,746.915818827195,818.695166738374,463.000328431925,475.81989348437,3223.25658250831,2227.25535868485,17.8,71.8,0.0,282.9,1.2
2024-05-31 04:00:00,620.665007666893,823.61362136777,632.771651296689,704.38501007901,2524.32427430715,2551.24639142227,18.2,67.0,0.0,257.9,1.8
2024-05-31 05:00:00,326.322420232057,500.712570289111,329.379777699812,367.076430378247,3675.68012102384,3037.31346932492,19.0,60.2,0.0,258.5,2.7
2024-05-31 06:00:00,1355.42876368317,109.413354914496,222.632513839972,67.3928417038624,1785.61265396389,1912.30823672934,20.4,50.5,0.0,283.9,4.5
